State,District,Crop,Season,Area,Production,Yield
Andhra Pradesh,Alluri Sitharama Raju,Rice,Kharif,0.56,1.76,3155
Andhra Pradesh,Alluri Sitharama Raju,Rice,Rabi,0.01,0.04,2917
Andhra Pradesh,Alluri Sitharama Raju,Rice,Total,0.57,1.79,3150
Andhra Pradesh,Alluri Sitharama Raju,Maize,Kharif,0.02,0.05,2535
Andhra Pradesh,Alluri Sitharama Raju,Maize,Rabi,0.01,0.03,6125
Andhra Pradesh,Alluri Sitharama Raju,Maize,Total,0.02,0.08,3333
Andhra Pradesh,Alluri Sitharama Raju,Jowar,Kharif,0,0,437
Andhra Pradesh,Alluri Sitharama Raju,Jowar,Rabi,0,0.01,6690
Andhra Pradesh,Alluri Sitharama Raju,Jowar,Total,0,0.01,3809
Andhra Pradesh,Alluri Sitharama Raju,Bajra,Kharif,0,0,2551
Andhra Pradesh,Alluri Sitharama Raju,Bajra,Total,0,0,2551
Andhra Pradesh,Alluri Sitharama Raju,Ragi,Kharif,0.14,0.19,1317
Andhra Pradesh,Alluri Sitharama Raju,Ragi,Total,0.14,0.19,1317
Andhra Pradesh,Alluri Sitharama Raju,Small Millets,Kharif,0.03,0.01,485
Andhra Pradesh,Alluri Sitharama Raju,Small Millets,Total,0.03,0.01,485
Andhra Pradesh,Alluri Sitharama Raju,Shree Anna /Nutri Cereals,Kharif,0.17,0.2,1182
Andhra Pradesh,Alluri Sitharama Raju,Shree Anna /Nutri Cereals,Rabi,0,0.01,6690
Andhra Pradesh,Alluri Sitharama Raju,Shree Anna /Nutri Cereals,Total,0.17,0.21,1211
Andhra Pradesh,Alluri Sitharama Raju,Nutri/Coarse Cereals,Kharif,0.19,0.25,1313
Andhra Pradesh,Alluri Sitharama Raju,Nutri/Coarse Cereals,Rabi,0.01,0.04,6209
Andhra Pradesh,Alluri Sitharama Raju,Nutri/Coarse Cereals,Total,0.19,0.28,1467
Andhra Pradesh,Alluri Sitharama Raju,Cereals,Kharif,0.74,2,2691
Andhra Pradesh,Alluri Sitharama Raju,Cereals,Rabi,0.02,0.07,4003
Andhra Pradesh,Alluri Sitharama Raju,Cereals,Total,0.76,2.08,2722
Andhra Pradesh,Alluri Sitharama Raju,Tur,Kharif,0,0,402
Andhra Pradesh,Alluri Sitharama Raju,Tur,Total,0,0,402
Andhra Pradesh,Alluri Sitharama Raju,Urad,Kharif,0,0,876
Andhra Pradesh,Alluri Sitharama Raju,Urad,Rabi,0.02,0.02,916
Andhra Pradesh,Alluri Sitharama Raju,Urad,Total,0.03,0.02,914
Andhra Pradesh,Alluri Sitharama Raju,Moong,Kharif,0,0,451
Andhra Pradesh,Alluri Sitharama Raju,Moong,Rabi,0,0,965
Andhra Pradesh,Alluri Sitharama Raju,Moong,Total,0,0,949
Andhra Pradesh,Alluri Sitharama Raju,Other Pulses,Kharif,0,0,900
Andhra Pradesh,Alluri Sitharama Raju,Other Pulses,Rabi,0.1,0.09,871
Andhra Pradesh,Alluri Sitharama Raju,Other Pulses,Total,0.1,0.09,871
Andhra Pradesh,Alluri Sitharama Raju,Total Pulses,Total,0.13,0.11,874
Andhra Pradesh,Alluri Sitharama Raju,Total Food Grains,Kharif,0.75,2.01,2680
Andhra Pradesh,Alluri Sitharama Raju,Total Food Grains,Rabi,0.14,0.19,1282
Andhra Pradesh,Alluri Sitharama Raju,Total Food Grains,Total,0.89,2.19,2454
Andhra Pradesh,Anakapalli,Rice,Kharif,0.56,1.78,3164
Andhra Pradesh,Anakapalli,Rice,Rabi,0.01,0.04,3126
Andhra Pradesh,Anakapalli,Rice,Total,0.58,1.82,3163
Andhra Pradesh,Anakapalli,Maize,Kharif,0,0,4586
Andhra Pradesh,Anakapalli,Maize,Rabi,0,0,8619
Andhra Pradesh,Anakapalli,Maize,Total,0,0.01,7153
Andhra Pradesh,Anakapalli,Bajra,Kharif,0.01,0.01,1101
Andhra Pradesh,Anakapalli,Bajra,Total,0.01,0.01,1101
Andhra Pradesh,Anakapalli,Ragi,Kharif,0,0,1881
Andhra Pradesh,Anakapalli,Ragi,Total,0,0,1881
Andhra Pradesh,Anakapalli,Shree Anna /Nutri Cereals,Kharif,0.01,0.01,1131
Andhra Pradesh,Anakapalli,Shree Anna /Nutri Cereals,Total,0.01,0.01,1131
Andhra Pradesh,Anakapalli,Nutri/Coarse Cereals,Kharif,0.01,0.01,1251
Andhra Pradesh,Anakapalli,Nutri/Coarse Cereals,Rabi,0,0,8619
Andhra Pradesh,Anakapalli,Nutri/Coarse Cereals,Total,0.01,0.01,1675
Andhra Pradesh,Anakapalli,Cereals,Kharif,0.57,1.79,3137
Andhra Pradesh,Anakapalli,Cereals,Rabi,0.01,0.04,3333
Andhra Pradesh,Anakapalli,Cereals,Total,0.59,1.84,3141
Andhra Pradesh,Anakapalli,Tur,Kharif,0,0,735
Andhra Pradesh,Anakapalli,Tur,Total,0,0,735
Andhra Pradesh,Anakapalli,Urad,Kharif,0,0,990
Andhra Pradesh,Anakapalli,Urad,Rabi,0.09,0.06,692
Andhra Pradesh,Anakapalli,Urad,Total,0.09,0.06,700
Andhra Pradesh,Anakapalli,Moong,Kharif,0,0,451
Andhra Pradesh,Anakapalli,Moong,Rabi,0.03,0.02,624
Andhra Pradesh,Anakapalli,Moong,Total,0.03,0.02,616
Andhra Pradesh,Anakapalli,Other Pulses,Kharif,0,0,900
Andhra Pradesh,Anakapalli,Other Pulses,Rabi,0,0,558
Andhra Pradesh,Anakapalli,Other Pulses,Total,0,0,640
Andhra Pradesh,Anakapalli,Total Pulses,Total,0.13,0.09,677
Andhra Pradesh,Anakapalli,Total Food Grains,Kharif,0.58,1.8,3116
Andhra Pradesh,Anakapalli,Total Food Grains,Rabi,0.14,0.13,924
Andhra Pradesh,Anakapalli,Total Food Grains,Total,0.71,1.93,2695
Andhra Pradesh,Anantapur,Rice,Kharif,0.22,0.74,3431
Andhra Pradesh,Anantapur,Rice,Rabi,0.05,0.13,2789
Andhra Pradesh,Anantapur,Rice,Total,0.26,0.87,3317
Andhra Pradesh,Anantapur,Maize,Kharif,0.2,1,5006
Andhra Pradesh,Anantapur,Maize,Rabi,0.07,0.38,5655
Andhra Pradesh,Anantapur,Maize,Total,0.27,1.38,5171
Andhra Pradesh,Anantapur,Jowar,Kharif,0.02,0.01,255
Andhra Pradesh,Anantapur,Jowar,Rabi,0.06,0.07,1101
