State,District,Crop,Season,Area,Production,Yield,Risk
Jharkhand,Ranchi,Tur,Total,0.13,0.12,900.0,Medium
Tripura,Unakoti,Total Food Grains,Total,0.18,0.51,2837.0,Low
Karnataka,Tumakuru,Moong,Kharif,0.2,0.07,326.0,High
Jharkhand,Pakur,Maize,Total,0.09,0.13,1542.0,Medium
Bihar,Madhepura,Tur,Kharif,0.0,0.0,1558.0,Medium
Karnataka,Ballari,Nutri/Coarse Cereals,Total,0.68,2.19,3226.0,Low
Rajasthan,Ajmer,Other Pulses,Total,0.01,0.03,2833.0,Low
Rajasthan,Jalore,Maize,Rabi,0.0,0.0,1500.0,Medium
Madhya Pradesh,Neemuch,Nutri/Coarse Cereals,Kharif,0.19,0.57,3103.0,Low
Telangana,Jayashankar Bhupalapally,Moong,Total,0.0,0.0,868.0,High
Rajasthan,Didwana Kuchaman,Shree Anna /Nutri Cereals,Kharif,1.57,1.42,900.0,Medium
Arunachal Pradesh,Kurung Kumey,Rice,Kharif,0.01,0.01,2015.0,Low
Jharkhand,Latehar,Shree Anna /Nutri Cereals,Total,0.0,0.01,1597.0,Medium
Maharashtra,Akola,Other Pulses,Total,0.0,0.0,538.0,High
Rajasthan,Hanumangarh,Maize,Kharif,0.0,0.01,2552.0,Low
Rajasthan,Salumbar,Bajra,Kharif,0.0,0.0,1144.0,Medium
Bihar,Jamui,Tur,Total,0.01,0.01,1092.0,Medium
Rajasthan,Kota,Lentil,Rabi,0.0,0.0,1070.0,Medium
Telangana,Ranga Reddy,Tur,Kharif,0.06,0.04,668.0,High
Rajasthan,Deeg,Lentil,Total,0.01,0.01,1070.0,Medium
Punjab,Patiala,Total Food Grains,Total,4.66,22.15,4758.0,Low
Maharashtra,Latur,Maize,Total,0.06,0.05,761.0,High
Telangana,Mahabubabad,Nutri/Coarse Cereals,Total,0.48,2.19,4546.0,Low
Jharkhand,Ranchi,Total Food Grains,Rabi,0.56,0.94,1668.0,Medium
Karnataka,Vijayanagar,Total Food Grains,Kharif,2.92,7.25,2479.0,Low
Madhya Pradesh,Mandla,Total Pulses,Total,0.63,0.43,688.0,High
Karnataka,Yadgir,Total Pulses,Total,1.1,0.79,722.0,High
Maharashtra,Bhandara,Wheat,Total,0.13,0.19,1460.0,Medium
Arunachal Pradesh,Kra Daadi,Nutri/Coarse Cereals,Total,0.01,0.01,1368.0,Medium
Madhya Pradesh,Dhar,Nutri/Coarse Cereals,Rabi,0.29,0.97,3358.0,Low
Madhya Pradesh,Sehore,Moong,Kharif,0.0,0.0,430.0,High
Rajasthan,Jalore,Shree Anna /Nutri Cereals,Total,3.51,4.88,1390.0,Medium
Telangana,Kumuram Bheem Asifabad,Moong,Total,0.01,0.0,691.0,High
Rajasthan,Udaipur,Maize,Total,1.08,2.05,1894.0,Low
Rajasthan,Jalore,Other Pulses,Rabi,0.0,0.0,1319.0,Medium
Bihar,Bhagalpur,Bajra,Total,0.0,0.0,1162.0,Medium
Jharkhand,Hazaribagh,Wheat,Rabi,0.17,0.34,2010.0,Low
Arunachal Pradesh,Lower Siang,Total Pulses,Total,0.01,0.01,1135.0,Medium
Uttarakhand,Pithoragarh,Small Millets,Kharif,0.05,0.06,1112.0,Medium
Uttarakhand,Bageshwar,Total Pulses,Total,0.02,0.02,951.0,Medium
Karnataka,Yadgir,Gram,Rabi,0.0,0.0,678.0,High
Jharkhand,Deoghar,Bajra,Kharif,0.0,0.0,700.0,High
Madhya Pradesh,Sidhi,Total Food Grains,Total,2.13,4.47,2102.0,Low
Jharkhand,Koderma,Other Pulses,Kharif,0.01,0.01,780.0,High
Arunachal Pradesh,Siang,Shree Anna /Nutri Cereals,Kharif,0.02,0.02,1068.0,Medium
Rajasthan,Sikar,Other Pulses,Kharif,0.0,0.0,324.0,High
Madhya Pradesh,Mauganj,Barley,Rabi,0.0,0.0,1522.0,Medium
Karnataka,Ballari,Small Millets,Total,0.03,0.02,513.0,High
Maharashtra,Nandurbar,Bajra,Total,0.03,0.04,1151.0,Medium
Himachal Pradesh,Kullu,Wheat,Total,0.09,0.18,2014.0,Low
Punjab,Pathankot,Moong,Summer,0.0,0.0,880.0,Medium
Rajasthan,Bhilwara,Total Food Grains,Total,6.21,13.15,2118.0,Low
Himachal Pradesh,Solan,Tur,Total,0.0,0.0,869.0,High
Madhya Pradesh,Niwari,Cereals,Rabi,0.63,1.54,2445.0,Low
Madhya Pradesh,Jhabua,Cereals,Kharif,0.74,1.63,2193.0,Low
Karnataka,Haveri,Nutri/Coarse Cereals,Summer,0.1,0.36,3556.0,Low
Rajasthan,Karauli,Total Food Grains,Total,2.09,5.48,2629.0,Low
Rajasthan,Ajmer,Rice,Kharif,0.0,0.0,2593.0,Low
Jharkhand,Simdega,Total Food Grains,Total,1.6,2.22,1387.0,Medium
Karnataka,Raichur,Maize,Rabi,0.01,0.01,1081.0,Medium
Karnataka,Bengaluru Urban,Total Food Grains,Kharif,0.19,0.35,1858.0,Medium
Madhya Pradesh,Mauganj,Gram,Total,0.01,0.02,1416.0,Medium
Madhya Pradesh,Rajgarh,Cereals,Summer,0.0,0.01,4825.0,Low
Punjab,Fazilka,Barley,Total,0.01,0.03,3374.0,Low
Rajasthan,Sirohi,Bajra,Kharif,0.04,0.05,1144.0,Medium
Karnataka,Ramanagara,Nutri/Coarse Cereals,Summer,0.0,0.0,4328.0,Low
Maharashtra,Ahmednagar,Small Millets,Total,0.01,0.0,229.0,High
Maharashtra,Akola,Urad,Total,0.02,0.01,456.0,High
Rajasthan,Baran,Other Pulses,Total,0.0,0.0,3867.0,Low
Jharkhand,Koderma,Gram,Rabi,0.11,0.16,1500.0,Medium
Madhya Pradesh,Burhanpur,Nutri/Coarse Cereals,Rabi,0.19,0.82,4277.0,Low
Arunachal Pradesh,Shi Yomi,Maize,Rabi,0.0,0.0,1420.0,Medium
Karnataka,Chamarajanagara,Ragi,Total,0.05,0.08,1566.0,Medium
Karnataka,Uttara Kannada,Shree Anna /Nutri Cereals,Kharif,0.0,0.0,1563.0,Medium
Madhya Pradesh,Gwalior,Cereals,Rabi,1.29,4.33,3356.0,Low
Rajasthan,Dungarpur,Cereals,Rabi,0.66,1.93,2937.0,Low
Jharkhand,Gumla,Ragi,Kharif,0.09,0.13,1390.0,Medium
Himachal Pradesh,Shimla,Moong,Total,0.0,0.0,496.0,High
Karnataka,Kodagu,Nutri/Coarse Cereals,Total,0.02,0.04,2062.0,Low
Madhya Pradesh,Bhopal,Total Food Grains,Kharif,0.33,0.83,2545.0,Low
Jharkhand,Deoghar,Other Pulses,Total,0.15,0.24,1630.0,Medium
Bihar,Jehanabad,Other Pulses,Total,0.03,0.03,1074.0,Medium
Andhra Pradesh,Palnadu,Other Pulses,Total,0.0,0.0,1047.0,Medium
Arunachal Pradesh,Siang,Urad,Kharif,0.0,0.0,1079.0,Medium
Madhya Pradesh,Rewa,Moong,Summer,0.0,0.0,799.0,High
Telangana,Mancherial,Total Pulses,Total,0.01,0.01,1111.0,Medium
Jharkhand,East Singhbum,Total Pulses,Total,0.2,0.18,932.0,Medium
Himachal Pradesh,Lahul And Spiti,Maize,Total,0.0,0.0,2701.0,Low
Andhra Pradesh,Krishna,Moong,Total,0.03,0.04,1310.0,Medium
Telangana,Yadadri Bhuvanagiri,Other Pulses,Kharif,0.0,0.0,736.0,High
Madhya Pradesh,Chhatarpur,Maize,Rabi,0.0,0.0,3121.0,Low
Maharashtra,Parbhani,Urad,Total,0.02,0.02,765.0,High
Karnataka,Belagavi,Tur,Kharif,0.13,0.06,462.0,High
Andhra Pradesh,Kurnool,Maize,Rabi,0.07,0.44,6332.0,Low
Andhra Pradesh,Parvathipuram Manyam,Total Food Grains,Rabi,0.15,0.46,3158.0,Low
Bihar,Gopalganj,Wheat,Rabi,0.56,1.97,3484.0,Low
Maharashtra,Sangli,Cereals,Summer,0.02,0.03,2137.0,Low
Bihar,Kishanganj,Total Food Grains,Total,1.38,5.61,4062.0,Low
Maharashtra,Nanded,Maize,Rabi,0.09,0.14,1481.0,Medium
Bihar,Khagaria,Total Food Grains,Total,1.0,4.27,4269.0,Low
Andhra Pradesh,East Godavari,Shree Anna /Nutri Cereals,Rabi,0.0,0.0,6690.0,Low
Bihar,Sitamarhi,Total Pulses,Total,0.15,0.13,892.0,Medium
Rajasthan,Didwana Kuchaman,Maize,Kharif,0.0,0.0,2552.0,Low
Rajasthan,Salumbar,Total Food Grains,Rabi,0.42,1.39,3282.0,Low
Karnataka,Koppal,Other Pulses,Rabi,0.15,0.07,495.0,High
Maharashtra,Nandurbar,Maize,Summer,0.01,0.02,1902.0,Low
Uttarakhand,Almora,Cereals,Kharif,0.41,0.51,1251.0,Medium
Karnataka,Koppal,Rice,Kharif,0.59,2.51,4243.0,Low
Karnataka,Haveri,Small Millets,Total,0.0,0.0,982.0,Medium
Maharashtra,Solapur,Shree Anna /Nutri Cereals,Rabi,2.54,2.13,836.0,High
Bihar,Gaya,Total Food Grains,Rabi,0.71,1.7,2384.0,Low
Tripura,Unakoti,Lentil,Rabi,0.0,0.0,813.0,High
Bihar,Jamui,Maize,Total,0.03,0.11,3747.0,Low
Jharkhand,Palamu,Urad,Kharif,0.06,0.05,833.0,High
Punjab,Hoshiarpur,Moong,Summer,0.0,0.0,780.0,High
Jharkhand,Koderma,Urad,Kharif,0.02,0.02,948.0,Medium
Arunachal Pradesh,East Siang,Shree Anna /Nutri Cereals,Kharif,0.01,0.02,1182.0,Medium
Arunachal Pradesh,West Siang,Ragi,Total,0.0,0.0,900.0,Medium
Punjab,Pathankot,Gram,Total,0.0,0.0,1210.0,Medium
Bihar,Samastipur,Maize,Total,0.58,2.5,4300.0,Low
Madhya Pradesh,Dhar,Moong,Kharif,0.01,0.01,560.0,High
Jharkhand,Pakur,Lentil,Total,0.03,0.03,800.0,High
Madhya Pradesh,Dewas,Lentil,Rabi,0.0,0.0,810.0,High
Maharashtra,Ratnagiri,Nutri/Coarse Cereals,Kharif,0.05,0.08,1627.0,Medium
Bihar,Buxar,Nutri/Coarse Cereals,Rabi,0.01,0.03,2345.0,Low
Bihar,Nalanda,Cereals,Kharif,1.07,3.29,3067.0,Low
Madhya Pradesh,Ratlam,Moong,Summer,0.0,0.0,1014.0,Medium
Madhya Pradesh,Shahdol,Bajra,Kharif,0.0,0.0,733.0,High
Jharkhand,Chatra,Bajra,Kharif,0.0,0.0,510.0,High
Andhra Pradesh,Spsr Nellore,Cereals,Summer,0.0,0.0,2551.0,Low
Karnataka,Koppal,Moong,Total,0.5,0.1,200.0,High
Telangana,Ranga Reddy,Wheat,Total,0.0,0.0,1973.0,Low
Madhya Pradesh,Chhatarpur,Total Pulses,Total,1.62,1.49,925.0,Medium
Bihar,Saran,Maize,Rabi,0.03,0.15,4347.0,Low
Jharkhand,Saraikela Kharsawan,Gram,Rabi,0.15,0.17,1150.0,Medium
Tripura,Sepahijala,Maize,Rabi,0.0,0.01,3267.0,Low
Karnataka,Bidar,Tur,Total,1.28,1.6,1255.0,Medium
Maharashtra,Bhandara,Tur,Kharif,0.09,0.04,437.0,High
Uttarakhand,Udam Singh Nagar,Maize,Kharif,0.0,0.0,3020.0,Low
Tripura,Gomati,Maize,Rabi,0.01,0.04,3261.0,Low
Telangana,Medchal Malkajgiri,Shree Anna /Nutri Cereals,Kharif,0.0,0.0,1369.0,Medium
Maharashtra,Beed,Nutri/Coarse Cereals,Rabi,1.84,2.09,1135.0,Medium
Rajasthan,Phalodi,Wheat,Total,0.25,0.89,3559.0,Low
Madhya Pradesh,Balaghat,Moong,Kharif,0.0,0.0,560.0,High
Maharashtra,Yavatmal,Bajra,Total,0.0,0.0,860.0,High
Madhya Pradesh,Dewas,Moong,Total,0.61,0.68,1108.0,Medium
Karnataka,Kolar,Ragi,Kharif,0.54,0.99,1842.0,Medium
Maharashtra,Gondia,Other Pulses,Rabi,0.11,0.02,206.0,High
Telangana,Mulugu,Other Pulses,Rabi,0.0,0.0,1520.0,Medium
Jharkhand,Chatra,Nutri/Coarse Cereals,Kharif,0.09,0.23,2537.0,Low
Arunachal Pradesh,Papum Pare,Other Pulses,Rabi,0.0,0.0,1788.0,Medium
Maharashtra,Akola,Moong,Summer,0.02,0.0,184.0,High
Andhra Pradesh,Kakinada,Gram,Rabi,0.0,0.01,1692.0,Medium
Madhya Pradesh,Shahdol,Maize,Rabi,0.0,0.0,2590.0,Low
Telangana,Kumuram Bheem Asifabad,Other Pulses,Rabi,0.0,0.0,1535.0,Medium
Bihar,Kaimur (Bhabua),Rice,Kharif,1.2,4.18,3491.0,Low
Karnataka,Ramanagara,Tur,Kharif,0.01,0.01,757.0,High
Telangana,Karimnagar,Total Pulses,Total,0.01,0.01,1276.0,Medium
Maharashtra,Yavatmal,Tur,Total,1.11,1.27,1138.0,Medium
Uttarakhand,Rudra Prayag,Urad,Total,0.0,0.0,1271.0,Medium
Madhya Pradesh,Rajgarh,Maize,Rabi,0.0,0.01,2440.0,Low
Bihar,Supaul,Cereals,Summer,0.11,0.5,4447.0,Low
Telangana,Nirmal,Rice,Kharif,0.52,1.77,3382.0,Low
Rajasthan,Jodhpur,Total Pulses,Total,2.88,1.24,430.0,High
Maharashtra,Yavatmal,Moong,Total,0.06,0.03,462.0,High
Telangana,Mulugu,Shree Anna /Nutri Cereals,Total,0.0,0.0,1151.0,Medium
Bihar,Lakhisarai,Small Millets,Kharif,0.0,0.0,533.0,High
Jharkhand,West Singhbhum,Nutri/Coarse Cereals,Kharif,0.09,0.1,1126.0,Medium
Bihar,Madhubani,Nutri/Coarse Cereals,Kharif,0.0,0.0,1423.0,Medium
Madhya Pradesh,Seoni,Lentil,Total,0.15,0.11,758.0,High
Madhya Pradesh,Rewa,Bajra,Total,0.0,0.0,780.0,High
Madhya Pradesh,Pandhurna,Total Food Grains,Total,0.43,1.0,2319.0,Low
Bihar,Gaya,Wheat,Rabi,0.61,1.54,2535.0,Low
Telangana,Nagarkurnool,Rice,Rabi,0.66,2.58,3897.0,Low
Arunachal Pradesh,Longding,Shree Anna /Nutri Cereals,Kharif,0.03,0.03,1177.0,Medium
Andhra Pradesh,Y.S.R.,Total Food Grains,Summer,0.02,0.05,2215.0,Low
Madhya Pradesh,Tikamgarh,Jowar,Kharif,0.0,0.0,1820.0,Medium
Rajasthan,Dausa,Jowar,Kharif,0.03,0.02,811.0,High
Karnataka,Vijayanagar,Nutri/Coarse Cereals,Summer,0.01,0.06,4328.0,Low
Karnataka,Bengaluru Urban,Ragi,Kharif,0.17,0.31,1851.0,Medium
Telangana,Suryapet,Total Pulses,Total,0.02,0.01,661.0,High
Maharashtra,Parbhani,Moong,Summer,0.0,0.0,184.0,High
Bihar,Arwal,Rice,Total,0.18,0.59,3175.0,Low
Rajasthan,Balotra,Total Food Grains,Rabi,0.09,0.31,3353.0,Low
Uttarakhand,Haridwar,Cereals,Total,0.55,1.88,3398.0,Low
Telangana,Jagitial,Gram,Total,0.0,0.0,2233.0,Low
Bihar,Samastipur,Other Pulses,Kharif,0.0,0.0,823.0,High
Punjab,Bathinda,Total Food Grains,Rabi,2.56,13.68,5344.0,Low
Uttarakhand,Pauri Garhwal,Rice,Total,0.04,0.07,1723.0,Medium
Madhya Pradesh,Tikamgarh,Nutri/Coarse Cereals,Rabi,0.01,0.02,1989.0,Low
Rajasthan,Balotra,Nutri/Coarse Cereals,Kharif,3.11,1.37,442.0,High
Jharkhand,Dumka,Total Food Grains,Rabi,0.26,0.41,1592.0,Medium
Jharkhand,Dumka,Other Pulses,Kharif,0.0,0.0,660.0,High
Bihar,Muzaffarpur,Shree Anna /Nutri Cereals,Kharif,0.0,0.0,829.0,High
Madhya Pradesh,Guna,Moong,Total,0.11,0.13,1177.0,Medium
Madhya Pradesh,Indore,Cereals,Total,1.69,6.25,3706.0,Low
Karnataka,Belagavi,Total Food Grains,Summer,0.14,0.6,4359.0,Low
Arunachal Pradesh,Tawang,Cereals,Kharif,0.03,0.05,1760.0,Medium
Arunachal Pradesh,East Kameng,Cereals,Kharif,0.09,0.12,1356.0,Medium
Arunachal Pradesh,Kra Daadi,Nutri/Coarse Cereals,Rabi,0.0,0.0,1950.0,Low
Himachal Pradesh,Solan,Other Pulses,Kharif,0.0,0.0,650.0,High
Bihar,Bhojpur,Cereals,Total,2.1,6.0,2853.0,Low
Karnataka,Uttara Kannada,Urad,Rabi,0.0,0.0,429.0,High
Arunachal Pradesh,Dibang Valley,Moong,Total,0.0,0.0,929.0,Medium
Maharashtra,Nagpur,Rice,Kharif,0.97,1.91,1961.0,Low
Madhya Pradesh,Niwari,Lentil,Rabi,0.0,0.0,682.0,High
Madhya Pradesh,Ashoknagar,Shree Anna /Nutri Cereals,Total,0.0,0.0,1508.0,Medium
Maharashtra,Ratnagiri,Total Pulses,Total,0.04,0.03,769.0,High
Maharashtra,Dhule,Nutri/Coarse Cereals,Kharif,1.22,1.03,842.0,High
Telangana,Wanaparthy,Tur,Total,0.03,0.01,516.0,High
Bihar,Munger,Other Pulses,Kharif,0.0,0.0,752.0,High
Andhra Pradesh,Anantapur,Cereals,Kharif,0.56,1.88,3319.0,Low
Bihar,Madhubani,Maize,Kharif,0.0,0.0,3623.0,Low
Bihar,Pashchim Champaran,Nutri/Coarse Cereals,Rabi,0.08,0.62,8160.0,Low
Bihar,Munger,Small Millets,Kharif,0.0,0.0,993.0,Medium
Jharkhand,Jamtara,Lentil,Total,0.05,0.04,748.0,High
Jharkhand,Palamu,Bajra,Kharif,0.0,0.0,716.0,High
Bihar,Kaimur (Bhabua),Tur,Total,0.0,0.01,1412.0,Medium
Madhya Pradesh,Ujjain,Nutri/Coarse Cereals,Total,0.03,0.08,2644.0,Low
Rajasthan,Hanumangarh,Shree Anna /Nutri Cereals,Kharif,0.31,0.54,1716.0,Medium
Madhya Pradesh,Sagar,Small Millets,Kharif,0.0,0.0,490.0,High
Arunachal Pradesh,East Kameng,Rice,Rabi,0.0,0.0,417.0,High
Bihar,Lakhisarai,Maize,Total,0.11,0.27,2490.0,Low
Rajasthan,Pali,Urad,Total,0.01,0.0,365.0,High
Maharashtra,Chandrapur,Maize,Rabi,0.01,0.0,469.0,High
Arunachal Pradesh,Upper Siang,Nutri/Coarse Cereals,Total,0.03,0.04,1205.0,Medium
Bihar,Lakhisarai,Barley,Total,0.0,0.0,1881.0,Low
Tripura,West Tripura,Maize,Rabi,0.0,0.02,3199.0,Low
Punjab,Mansa,Gram,Total,0.0,0.0,1401.0,Medium
Madhya Pradesh,Niwari,Total Pulses,Total,0.1,0.05,544.0,High
Rajasthan,Beawar,Gram,Total,0.23,0.27,1202.0,Medium
Uttarakhand,Tehri Garhwal,Ragi,Kharif,0.06,0.1,1665.0,Medium
Bihar,Saran,Other Pulses,Rabi,0.0,0.0,881.0,Medium
Madhya Pradesh,Bhopal,Gram,Total,0.02,0.02,1248.0,Medium
Uttarakhand,Pauri Garhwal,Wheat,Rabi,0.05,0.1,1974.0,Low
Bihar,Saharsa,Urad,Kharif,0.0,0.0,909.0,Medium
Andhra Pradesh,Alluri Sitharama Raju,Maize,Kharif,0.02,0.05,2535.0,Low
Telangana,Warangal,Maize,Rabi,0.4,2.84,7143.0,Low
Jharkhand,Deoghar,Lentil,Total,0.01,0.01,950.0,Medium
Tripura,Khowai,Shree Anna /Nutri Cereals,Kharif,0.0,0.0,884.0,Medium
Rajasthan,Jodhpur,Jowar,Total,0.32,0.16,497.0,High
Bihar,Sheikhpura,Total Food Grains,Total,0.51,1.36,2654.0,Low
Maharashtra,Thane,Total Food Grains,Summer,0.0,0.0,1567.0,Medium
Rajasthan,Salumbar,Moong,Total,0.0,0.0,1027.0,Medium
Maharashtra,Jalna,Jowar,Kharif,0.0,0.0,1075.0,Medium
Punjab,Kapurthala,Rice,Total,1.17,5.59,4791.0,Low
Maharashtra,Washim,Nutri/Coarse Cereals,Kharif,0.04,0.01,365.0,High
Andhra Pradesh,Kurnool,Shree Anna /Nutri Cereals,Total,0.29,0.4,1392.0,Medium
Madhya Pradesh,Harda,Jowar,Kharif,0.0,0.0,1439.0,Medium
Karnataka,Tumakuru,Maize,Total,0.27,0.92,3330.0,Low
Rajasthan,Bundi,Shree Anna /Nutri Cereals,Total,0.02,0.02,1047.0,Medium
Karnataka,Haveri,Total Food Grains,Rabi,1.51,2.34,1553.0,Medium
Bihar,Saran,Moong,Total,0.02,0.0,209.0,High
Karnataka,Vijayapura,Moong,Total,0.01,0.0,324.0,High
Himachal Pradesh,Sirmaur,Moong,Kharif,0.0,0.0,496.0,High
Madhya Pradesh,Betul,Nutri/Coarse Cereals,Kharif,2.19,5.56,2540.0,Low
Andhra Pradesh,Anantapur,Shree Anna /Nutri Cereals,Kharif,0.15,0.13,902.0,Medium
Rajasthan,Phalodi,Total Food Grains,Kharif,2.16,1.33,616.0,High
Bihar,Muzaffarpur,Gram,Rabi,0.0,0.0,1045.0,Medium
Karnataka,Yadgir,Cereals,Total,1.55,4.78,3075.0,Low
Telangana,Nalgonda,Total Food Grains,Total,4.12,14.4,3499.0,Low
Maharashtra,Ahmednagar,Urad,Total,0.7,0.76,1088.0,Medium
Jharkhand,Ranchi,Nutri/Coarse Cereals,Kharif,0.15,0.32,2201.0,Low
Andhra Pradesh,East Godavari,Gram,Total,0.0,0.01,1692.0,Medium
Arunachal Pradesh,Lower Dibang Valley,Wheat,Total,0.0,0.01,1954.0,Low
Maharashtra,Aurangabad,Cereals,Kharif,2.23,4.62,2076.0,Low
Rajasthan,Dholpur,Bajra,Total,0.94,1.88,1998.0,Low
Punjab,Fatehgarh Sahib,Total Food Grains,Total,1.74,8.59,4948.0,Low
Maharashtra,Dhule,Small Millets,Total,0.02,0.02,990.0,Medium
Karnataka,Bengaluru Rural,Nutri/Coarse Cereals,Kharif,0.66,1.44,2177.0,Low
Karnataka,Kolar,Tur,Total,0.01,0.01,503.0,High
Rajasthan,Bharatpur,Moong,Kharif,0.0,0.0,515.0,High
Rajasthan,Bharatpur,Nutri/Coarse Cereals,Rabi,0.01,0.02,3711.0,Low
Maharashtra,Solapur,Bajra,Summer,0.0,0.0,910.0,Medium
Madhya Pradesh,Bhind,Jowar,Total,0.15,0.34,2235.0,Low
Madhya Pradesh,Hoshangabad,Maize,Kharif,0.47,1.02,2148.0,Low
Karnataka,Uttara Kannada,Jowar,Total,0.0,0.0,1128.0,Medium
Andhra Pradesh,Krishna,Other Pulses,Kharif,0.0,0.0,437.0,High
Himachal Pradesh,Chamba,Other Pulses,Total,0.0,0.0,850.0,High
Bihar,Kaimur (Bhabua),Other Pulses,Total,0.01,0.01,975.0,Medium
Maharashtra,Latur,Cereals,Rabi,0.53,0.58,1104.0,Medium
